UCD_region,region
Africa,Africa_Eastern
Africa,Africa_Northern
Africa,Africa_Southern
Africa,Africa_Western
Latin America,Argentina
Australia_NZ,Australia_NZ
Brazil,Brazil
Canada,Canada
Latin America,Central America and Caribbean
Former Soviet Union,Central Asia
China,China
Latin America,Colombia
Eastern Europe,EU-12
Western Europe,EU-15
Former Soviet Union,Europe_Eastern
Eastern Europe,Europe_Non_EU
Western Europe,European Free Trade Association
India,India
Southeast Asia,Indonesia
Japan,Japan
Latin America,Mexico
Middle East,Middle East
Southeast Asia,Pakistan
Former Soviet Union,Russia
Africa,South Africa
Latin America,South America_Northern
Latin America,South America_Southern
Southeast Asia,South Asia
Korea,South Korea
Southeast Asia,Southeast Asia
Southeast Asia,Taiwan
USA,USA
