sector,subsector,end_use
trn_aviation_intl,International Aviation,Aviation
trn_freight,Domestic Ship,Marine
trn_freight,Freight Rail,Transportation
trn_freight_road,Truck (0-2t),Transportation
trn_freight_road,Truck (2-5t),Transportation
trn_freight_road,Truck (5-9t),Transportation
trn_freight_road,Truck (9-16t),Transportation
trn_pass,Domestic Aviation,Aviation
trn_pass,Passenger Rail,Transportation
trn_pass_road,Bus,Transportation
trn_pass_road_LDV,Three-Wheeler,Transportation
trn_pass_road_LDV_2W,Motorcycle (50-250cc),Transportation
trn_pass_road_LDV_4W,Compact Car,Transportation
trn_pass_road_LDV_4W,Mini Car,Transportation
trn_pass_road_LDV_4W,Multipurpose Vehicle,Transportation
trn_pass_road_LDV_4W,Subcompact Car,Transportation
trn_shipping_intl,International Ship,Marine
trn_pass,HSR,Transportation
trn_freight_road,Truck (>15t),Transportation
trn_freight_road,Truck (0-1t),Transportation
trn_freight_road,Truck (6-15t),Transportation
trn_pass_road_LDV_2W,Moped,Transportation
trn_pass_road_LDV_2W,Motorcycle (>250cc),Transportation
trn_pass_road_LDV_4W,Large Car and SUV,Transportation
trn_freight_road,Truck (1-6t),Transportation
trn_freight_road,Truck (6-30t),Transportation
trn_pass_road_LDV_4W,Large Car,Transportation
trn_pass_road_LDV_4W,Light Truck and SUV,Transportation
trn_pass_road_LDV_4W,Midsize Car,Transportation
trn_freight_road,Truck (0-4.5t),Transportation
trn_freight_road,Truck (4.5-15t),Transportation
trn_pass_road_LDV_4W,Van,Transportation
trn_freight_road,Truck (>32t),Transportation
trn_freight_road,Truck (0-3.5t),Transportation
trn_freight_road,Truck (16-32t),Transportation
trn_freight_road,Truck (3.5-16t),Transportation
trn_freight_road,3W Rural,Transportation
trn_freight_road,Truck (>14t),Transportation
trn_freight_road,Truck (0-6t),Transportation
trn_freight_road,Truck (6-14t),Transportation
trn_pass_road_bus,Heavy Bus,Transportation
trn_pass_road_bus,Light Bus,Transportation
trn_pass_road_LDV_2W,Scooter,Transportation
trn_freight_road,Truck,Transportation
trn_freight_road,Truck (>12t),Transportation
trn_freight_road,Truck (0-2.7t),Transportation
trn_freight_road,Truck (2.7-4.5t),Transportation
trn_freight_road,Truck (4.5-12t),Transportation
